iteration,temperature,throughput,cost,accepted
89,6.40109372757666,0,inf,False
90,6.369088258938777,0,inf,False
91,6.337242817644083,0,inf,False
92,6.305556603555862,0,inf,False
93,6.274028820538083,0,inf,False
94,6.242658676435393,0,inf,False
95,6.211445383053215,0,inf,False
96,6.1803881561379495,0,inf,False
97,6.14948621535726,0,inf,False
98,6.118738784280473,0,inf,False
99,6.08814509035907,1.2539974696212057e-05,-1.2539974696212057e-05,True
100,6.057704364907275,2.2418790174471992e-07,-2.2418790174471992e-07,True
101,6.027415843082739,0,inf,False
102,5.9972787638673255,0,inf,False
103,5.967292370047989,0,inf,False
104,5.937455908197749,0,inf,False
105,5.90776862865676,0,inf,False
106,5.878229785513477,0,inf,False
107,5.848838636585909,0,inf,False
108,5.81959444340298,8.92412122030977e-07,-8.92412122030977e-07,True
109,5.790496471185965,0,inf,False
110,5.761543988830035,0,inf,False
111,5.732736268885885,0,inf,False
112,5.7040725875414555,0,inf,False
113,5.675552224603749,0,inf,False
114,5.64717446348073,0,inf,False
115,5.618938591163326,0,inf,False
116,5.59084389820751,0,inf,False
117,5.5628896787164726,0,inf,False
118,5.5350752303228905,0,inf,False
119,5.507399854171276,7.290115218138664e-07,-7.290115218138664e-07,True
120,5.47986285490042,0,inf,False
121,5.452463540625917,0,inf,False
122,5.425201222922787,0,inf,False
123,5.398075216808174,0,inf,False
124,5.371084840724133,2.141406808177342e-07,-2.141406808177342e-07,True
125,5.344229416520512,0,inf,False
126,5.317508269437909,0,inf,False
127,5.29092072809072,0,inf,False
128,5.264466124450267,1.5765082984992657e-06,-1.5765082984992657e-06,True
129,5.238143793828015,0,inf,False
130,5.211953074858875,0,inf,False
131,5.18589330948458,7.716269052273676e-07,-7.716269052273676e-07,True
132,5.159963842937158,0,inf,False
133,5.134164023722472,0,inf,False
134,5.10849320360386,0,inf,False
135,5.082950737585841,0,inf,False
136,5.057535983897911,0,inf,False
137,5.032248303978422,0,inf,False
138,5.00708706245853,1.354288501140592e-06,-1.354288501140592e-06,True
139,4.982051627146237,0,inf,False
140,4.957141369010507,0,inf,False
141,4.932355662165454,0,inf,False
142,4.907693883854627,2.6988618448215743e-07,-2.6988618448215743e-07,True
143,4.883155414435354,0,inf,False
144,4.858739637363177,0,inf,False
145,4.834445939176361,0,inf,False
146,4.810273709480479,0,inf,False
147,4.786222340933077,0,inf,False
148,4.762291229228412,0,inf,False
149,4.738479773082269,0,inf,False
150,4.714787374216858,2.2418790174471992e-07,-2.2418790174471992e-07,True
151,4.691213437345773,0,inf,False
152,4.667757370159045,0,inf,False
153,4.64441858330825,0,inf,False
154,4.621196490391708,0,inf,False
155,4.59809050793975,0,inf,False
156,4.575100055400051,0,inf,False
