model_name,domain,trial,temperature,optimizer,seed,runtime_seconds,final_throughput,success,initial_feasible,feasible,total_partitions,avg_partition_size,max_partition_resource_util,total_folding_moves,total_partition_moves,partition_moves_accepted,folding_moves_accepted,best_iteration_index,final_DSP,final_BRAM,final_LUT,final_FF,error
detection_backbone,object_detection,3,NA,Rule-Based,23574748,15.267330169677734,4.97939830889116e-09,True,False,False,21,1.0,0.0,NA,NA,NA,NA,NA,9,5164,59066,77176,
detection_backbone,object_detection,1,10.0,Simulated Annealing,23574806,47.03003716468811,4.97939830889116e-09,True,False,False,21,1.0,0.0,165573,18227,0,0,0,9,5164,59066,77176,
detection_backbone,object_detection,2,10.0,Simulated Annealing,23574807,48.73371171951294,4.97939830889116e-09,True,False,False,21,1.0,0.0,165338,18462,0,0,0,9,5164,59066,77176,
detection_backbone,object_detection,3,10.0,Simulated Annealing,23574808,48.53353571891785,4.97939830889116e-09,True,False,False,21,1.0,0.0,165361,18439,0,0,0,9,5164,59066,77176,
detection_backbone,object_detection,1,20.0,Simulated Annealing,23574836,51.565104484558105,4.97939830889116e-09,True,False,False,21,1.0,0.0,177713,19887,0,0,0,9,5164,59066,77176,
detection_backbone,object_detection,2,20.0,Simulated Annealing,23574837,58.992886543273926,4.97939830889116e-09,True,False,False,21,1.0,0.0,177782,19818,0,0,0,9,5164,59066,77176,
detection_backbone,object_detection,3,20.0,Simulated Annealing,23574838,53.82933330535889,4.97939830889116e-09,True,False,False,21,1.0,0.0,177741,19859,0,0,0,9,5164,59066,77176,
detection_backbone,object_detection,1,50.0,Simulated Annealing,23574926,57.390857219696045,4.97939830889116e-09,True,False,False,21,1.0,0.0,194080,21820,0,0,0,9,5164,59066,77176,
detection_backbone,object_detection,2,50.0,Simulated Annealing,23574927,57.42943549156189,4.97939830889116e-09,True,False,False,21,1.0,0.0,194546,21354,0,0,0,9,5164,59066,77176,
detection_backbone,object_detection,3,50.0,Simulated Annealing,23574928,56.923444509506226,4.97939830889116e-09,True,False,False,21,1.0,0.0,194094,21806,0,0,0,9,5164,59066,77176,
mobile_style,object_detection,1,NA,Rule-Based,2227327280,175.46771264076233,2.0391855201632863e-07,True,False,False,52,1.0,0.0,NA,NA,NA,NA,NA,26,4327,146989,195835,
mobile_style,object_detection,2,NA,Rule-Based,2227327281,175.53755450248718,2.0391855201632863e-07,True,False,False,52,1.0,0.0,NA,NA,NA,NA,NA,26,4327,146989,195835,
mobile_style,object_detection,3,NA,Rule-Based,2227327282,175.5151014328003,2.0391855201632863e-07,True,False,False,52,1.0,0.0,NA,NA,NA,NA,NA,26,4327,146989,195835,
mobile_style,object_detection,1,10.0,Simulated Annealing,2227327340,0.41800808906555176,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
mobile_style,object_detection,2,10.0,Simulated Annealing,2227327341,3.4979138374328613,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
mobile_style,object_detection,3,10.0,Simulated Annealing,2227327342,0.4155395030975342,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
mobile_style,object_detection,1,20.0,Simulated Annealing,2227327370,8.89389443397522,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
mobile_style,object_detection,2,20.0,Simulated Annealing,2227327371,1.9768097400665283,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
